Brand,Fuel Type,Transmission,Condition,Price,Model,Engine_scaled,Mileage_scaled,Age_scaled
6,0,1,2,93126.06,7,-0.813847702998764,-0.08368198844838215,-0.33949892394798853
4,3,1,2,83008.5,16,-1.1630666205602809,-0.9093935485346525,-1.197830941345566
0,2,1,2,26352.59,3,-1.1630666205602809,1.6656110795269496,-0.9117202688797068
0,1,1,2,88047.31,24,-1.4424417546094945,0.8925602178457845,1.6632757833130254
3,0,1,1,30027.06,4,-1.0932228370479775,1.4791769629871216,-0.6256095964138477
5,1,1,2,24507.29,17,0.5830279672473044,-0.24044682405485215,-0.6256095964138477
0,3,0,1,30103.17,23,1.3513095858826425,-0.6006646582089353,1.3771651108471663
3,2,0,2,91445.73,4,1.1417782353457318,0.28659245780121045,0.08966708475080017
6,2,0,0,91981.24,7,0.6528717507596082,-0.9660814422811721,0.9479991021483776
1,2,0,0,36254.6,27,-1.3027541875848876,1.0904388499603666,0.23272242098372975
1,2,1,0,72016.25,0,-0.7440039194864605,-1.5831410539016757,1.3771651108471663
1,0,1,1,69195.8,1,-0.6741601359741569,0.2100871225723635,0.6618884296825185
0,0,0,2,81623.45,2,-0.8836914865110671,1.3992018690601635,-0.196443587715059
6,1,0,2,33168.4,7,0.0941214826611807,0.6683796771737165,-0.196443587715059
0,0,0,1,53463.16,23,0.16396526617348417,-0.1790491594853225,0.3757777572166593
5,3,0,1,68429.03,17,-0.46462878543724684,1.1729622256852819,1.520220447080096
0,3,0,1,7494.4,23,-0.46462878543724684,1.530597649267328,-0.196443587715059
6,2,0,1,40790.18,7,1.1417782353457318,0.5447993862308221,0.5188330934495888
6,3,0,1,71109.39,22,1.0020906683211253,-0.09635513989000824,1.3771651108471663
5,1,0,0,28996.53,18,-0.6741601359741569,0.5394639212163495,-1.197830941345566
6,0,1,2,95981.89,9,1.4909971529072488,0.3505497804267238,0.6618884296825185
6,0,1,1,7865.33,9,1.6306847199318557,-1.4652488919720785,-0.4825542601809181
1,0,1,0,96018.28,26,-0.6043163524618534,0.3440425608355119,1.520220447080096
5,3,1,1,25592.57,19,-0.46462878543724684,-1.1715707910155457,0.9479991021483776
2,0,0,0,9638.09,21,0.02427769914887722,0.11004430948649288,-1.197830941345566
2,2,1,1,32785.03,11,1.5608409364195526,-0.7124705220943045,0.08966708475080017
6,2,0,2,79696.82,9,1.3513095858826425,1.3845151199478303,1.0910544383813072
2,2,1,1,76481.99,11,-1.3725979710971912,-0.756963067236315,1.520220447080096
2,3,0,1,24839.84,14,-0.3249412184126399,-0.2641094407501684,-0.4825542601809181
6,0,0,2,23695.06,25,0.23380904968578736,-1.604391903895354,1.0910544383813072
2,3,1,2,66045.09,14,0.02427769914887722,-0.7935718655658955,-0.33949892394798853
0,0,1,1,48517.86,23,-1.0233790535356742,0.7988767329967802,0.08966708475080017
3,1,0,2,80267.55,4,1.2814658023703387,-1.4088909097083302,1.2341097746142367
5,1,0,2,7292.61,17,0.6528717507596082,0.6237619931934135,-0.33949892394798853
3,3,0,0,62989.13,4,1.2116220188580356,-1.1304001132173007,0.23272242098372975
6,2,1,2,74413.84,9,1.2814658023703387,-1.3548764365980603,-0.4825542601809181
1,3,1,2,99371.68,0,0.8624031012965183,-0.6585129302741676,-1.4839416138114252
5,2,0,1,69484.26,17,-0.1852536513880329,-0.2723117227873429,0.9479991021483776
6,0,1,1,27025.29,22,0.4433404002226975,-0.044126739289913626,-0.196443587715059
1,2,0,0,15277.69,1,-1.1630666205602809,0.47126325434691635,-0.7686649326467773
3,2,1,1,65887.09,13,0.6528717507596082,1.1238054147523677,0.08966708475080017
6,0,1,2,54702.39,7,-1.0932228370479775,-1.5323574380709586,0.23272242098372975
5,1,1,2,90418.8,20,0.7227155342719114,-0.14372587831274708,-0.05338825148212941
5,0,1,2,74027.76,17,-0.9535352700233706,0.01357364142097287,-1.197830941345566
4,3,1,1,53425.53,10,-1.3027541875848876,0.8034499887234711,-1.4839416138114252
0,3,0,2,43341.0,24,-1.1630666205602809,-1.460357101020643,0.23272242098372975
2,3,0,2,43415.6,14,-1.7218168886587082,-0.01597050067409263,-1.4839416138114252
1,3,1,0,26498.91,0,0.7925593177842146,1.0634998709533912,-0.4825542601809181
4,3,0,0,6645.97,15,0.8624031012965183,1.2089225773073466,-0.33949892394798853
2,1,0,0,59616.51,21,0.0941214826611807,0.9700552875229452,-1.197830941345566
2,1,1,1,25179.4,21,-1.1630666205602809,-1.1360086084244119,-0.33949892394798853
6,2,0,2,24791.06,7,-1.4424417546094945,0.3622559499360894,1.2341097746142367
2,3,1,2,16911.22,21,-1.6519731051464048,0.7422115917663138,0.23272242098372975
0,0,0,2,23011.57,2,-1.1630666205602809,1.4824874540728608,-0.9117202688797068
5,3,0,0,8019.97,17,1.4211533693949456,1.4686311717964688,-0.33949892394798853
4,1,0,2,69051.99,5,-0.8836914865110671,1.2111864526546388,1.2341097746142367
2,3,0,2,43132.73,12,-0.46462878543724684,1.3001715429386598,-1.197830941345566
6,1,0,2,58344.84,7,-1.3725979710971912,1.6311182651903158,-0.05338825148212941
0,2,0,2,65510.97,3,-0.9535352700233706,0.10931622897279084,-1.3408862775784955
3,2,0,2,97386.03,8,0.0941214826611807,1.2402527919125874,-0.9117202688797068
5,2,1,1,11485.26,20,0.3734966167103943,-0.2735744874282949,1.520220447080096
5,1,1,2,44702.18,17,-0.8836914865110671,-0.8671307499658546,-0.196443587715059
4,3,1,1,28360.3,10,-1.512285538121798,-0.036845934152893244,1.2341097746142367
5,3,1,2,50287.63,20,-0.3249412184126399,0.8639375526508732,-0.4825542601809181
2,0,0,1,92444.87,11,-0.8836914865110671,0.10217193893208959,-1.197830941345566
6,1,0,2,73778.51,9,-0.9535352700233706,1.5627583307085102,-1.0547756051126365
5,0,0,2,67885.21,20,1.6306847199318557,0.9733657786086841,-0.196443587715059
5,2,1,2,46918.36,18,0.4433404002226975,0.5595657691493416,-0.33949892394798853
3,3,1,2,68755.69,6,0.23380904968578736,0.5645826989390698,1.3771651108471663
3,1,1,0,8075.66,6,-0.2550974349003364,-1.0585931725534372,0.6618884296825185
1,0,0,2,60692.67,26,-0.2550974349003364,-0.9029090814594938,-0.4825542601809181
0,0,1,1,57608.77,2,0.16396526617348417,1.4680509826371124,0.3757777572166593
2,0,0,0,37930.84,12,0.7227155342719114,0.34545321683080954,1.2341097746142367
5,3,1,0,24143.84,17,0.7227155342719114,-1.5371240901841017,-0.7686649326467773
5,3,0,2,81717.78,18,-1.0932228370479775,-0.8030027834699422,1.520220447080096
6,3,1,1,10116.9,22,0.02427769914887722,1.2850980010534223,-0.6256095964138477
1,1,0,1,11618.92,27,-0.2550974349003364,-0.29947822695485016,-0.05338825148212941
0,3,1,0,46849.57,24,1.3513095858826425,1.1429744095271792,1.2341097746142367
1,1,1,1,28992.68,1,0.5131841837350013,1.654473722918914,0.23272242098372975
4,0,0,2,75817.98,15,0.16396526617348417,0.3459537721839797,0.804943765915448
0,0,0,2,65248.06,24,-1.3027541875848876,0.6199964517866108,0.08966708475080017
5,2,1,2,78390.81,20,0.3734966167103943,0.6346604483828908,0.3757777572166593
5,3,0,2,35844.5,19,-1.3027541875848876,0.5473704205448325,0.804943765915448
0,0,1,2,75349.3,3,-0.53447256894955,0.5883363256985987,-0.05338825148212941
5,3,0,0,86918.81,20,-1.2329104040725845,0.42630428262581554,0.804943765915448
2,1,1,2,37801.08,12,0.7227155342719114,-0.43884876403865747,-1.6269969500443546
0,0,0,2,37290.1,23,-1.0233790535356742,-0.13389679137776955,-0.6256095964138477
1,3,1,0,90495.38,26,-0.3249412184126399,-0.9249221407409538,0.3757777572166593
0,0,1,0,9730.07,23,1.4211533693949456,0.6353544001225131,0.3757777572166593
5,0,1,0,38267.99,19,-1.0233790535356742,0.8708656937890692,-1.6269969500443546
2,3,0,1,16273.89,12,0.02427769914887722,1.4792338442772546,1.2341097746142367
2,0,1,1,7753.16,12,-0.2550974349003364,1.5580371836274736,-1.0547756051126365
4,0,0,2,15722.59,15,-1.6519731051464048,-1.0771819781688925,1.2341097746142367
1,0,0,2,45968.35,26,1.0719344518334284,1.573508894543642,-1.3408862775784955
3,0,0,2,70260.83,4,-1.512285538121798,-1.4835760436529222,0.804943765915448
3,1,1,1,32481.83,6,-0.04556608436342626,-0.9893800187196373,-1.3408862775784955
0,0,0,2,85719.15,23,0.23380904968578736,1.4481425310905724,1.6632757833130254
4,2,0,2,46573.48,15,0.4433404002226975,-1.582572241000346,0.08966708475080017
6,0,0,1,96981.66,22,0.6528717507596082,0.7762721082979372,-1.6269969500443546
0,3,1,0,95644.79,2,-0.813847702998764,0.8181594903518575,-0.05338825148212941
4,2,0,1,78461.24,16,-1.7218168886587082,1.6499687247403825,0.3757777572166593
1,1,0,2,93578.52,0,0.7925593177842146,-1.4148861976883453,-0.33949892394798853
1,2,0,1,72174.13,26,0.16396526617348417,-0.35924908662657684,-0.05338825148212941
1,2,0,0,90080.4,26,1.2116220188580356,0.7400387264832342,-1.4839416138114252
1,2,1,0,27465.0,0,1.1417782353457318,-0.9712235109091928,-1.3408862775784955
1,3,1,0,37814.92,27,1.2116220188580356,1.2580907644982873,-1.3408862775784955
4,3,0,0,76528.36,5,-0.04556608436342626,-1.0814139461547856,-1.197830941345566
4,3,0,0,45333.32,10,-0.53447256894955,-0.6594571596903749,-1.3408862775784955
2,1,0,0,84546.11,14,1.0719344518334284,1.253051082192506,0.5188330934495888
3,3,0,2,88375.69,13,-0.11540986787572974,-0.8123426913097762,0.5188330934495888
5,3,1,2,33474.3,18,-1.0932228370479775,-0.3225265257167303,-0.33949892394798853
1,2,1,1,83227.83,1,1.2814658023703387,-1.3468675509473378,0.3757777572166593
6,3,1,2,19655.11,9,1.3513095858826425,1.6462373121076597,-1.6269969500443546
5,0,1,0,36748.69,20,-0.11540986787572974,-0.9040353310041266,0.3757777572166593
4,3,0,2,54206.67,5,-1.4424417546094945,-1.0259433120171115,0.6618884296825185
6,1,0,1,26512.16,22,-0.39478500192494337,1.0014310071602923,-1.6269969500443546
6,1,1,0,60030.44,22,1.0719344518334284,-0.09091728855329614,-0.4825542601809181
6,0,1,2,59976.03,25,1.4211533693949456,-1.0027471219008857,-0.6256095964138477
2,1,0,2,24655.78,12,-1.0233790535356742,1.4935338006166838,1.0910544383813072
4,1,0,1,80585.93,15,-1.512285538121798,-0.5462633923257612,1.2341097746142367
6,2,0,0,65006.23,25,1.3513095858826425,0.4782710292912985,-0.7686649326467773
1,0,0,1,35187.25,26,-0.39478500192494337,1.6185133712968491,-1.6269969500443546
0,2,0,0,27057.55,3,0.16396526617348417,1.1343853347171005,-0.9117202688797068
6,2,1,0,88481.26,9,1.6306847199318557,0.8513895400475396,1.2341097746142367
2,3,1,2,84395.51,12,-1.512285538121798,-1.5440294788062443,0.804943765915448
5,0,0,1,26827.26,20,0.5131841837350013,1.5109508516553998,0.3757777572166593
4,3,0,1,8382.5,16,-1.4424417546094945,1.6595134052246951,-0.7686649326467773
2,3,1,1,81430.6,11,-0.39478500192494337,-0.4592122659062613,-0.9117202688797068
6,2,0,0,63473.31,9,1.0719344518334284,1.1719952437530214,1.2341097746142367
4,1,1,1,14583.79,5,-0.1852536513880329,-1.0434172443459604,0.3757777572166593
0,0,1,0,60799.03,2,1.7703722869564626,-0.9273680362166716,1.6632757833130254
6,1,1,1,47957.36,7,0.23380904968578736,-0.07583237041003205,-1.4839416138114252
2,2,1,1,78582.28,14,-0.6043163524618534,0.9869262781763846,-0.7686649326467773
3,2,0,2,24863.06,13,-0.9535352700233706,1.6194576007130566,1.0910544383813072
1,2,0,1,48049.89,26,-0.46462878543724684,-0.705951926245066,-0.33949892394798853
5,2,1,2,19843.19,19,-0.39478500192494337,-0.22392849740023718,-0.6256095964138477
2,2,0,2,95965.09,12,-1.512285538121798,-0.12249778083512203,1.3771651108471663
4,2,0,0,78980.12,15,-0.46462878543724684,1.3092611731019086,0.08966708475080017
6,1,0,1,74988.63,9,-0.11540986787572974,-0.39176243206658345,1.520220447080096
1,3,0,1,70569.63,0,0.7925593177842146,-1.3758428801410736,1.6632757833130254
6,1,1,1,45216.96,22,0.5830279672473044,-1.4750210976169231,-1.4839416138114252
4,0,0,2,92711.83,5,0.7227155342719114,-1.0425754012519926,-1.197830941345566
6,1,1,1,11927.12,25,-1.7218168886587082,0.13454876927577708,-0.6256095964138477
3,2,1,0,81309.61,8,-0.9535352700233706,0.6205766409459671,-1.3408862775784955
1,1,0,0,25447.11,0,0.5830279672473044,1.6034739581856914,-0.4825542601809181
1,3,1,1,35782.66,26,-0.04556608436342626,-0.8852531290022193,1.0910544383813072
4,0,0,2,54345.82,15,-1.7218168886587082,-0.8755378046475077,-0.33949892394798853
5,1,0,0,79352.23,18,1.0719344518334284,1.482703602975366,1.3771651108471663
3,3,1,0,84660.82,6,1.0020906683211253,0.062264025774796644,0.804943765915448
2,1,0,2,60454.56,11,0.16396526617348417,-0.24665826093737267,0.23272242098372975
6,0,1,0,43288.37,7,-1.512285538121798,-1.7031833285982991,0.3757777572166593
0,1,1,2,94917.73,23,0.9322468848088216,-1.259338621690721,0.5188330934495888
6,2,0,0,28419.52,7,0.30365283319809083,-0.7850965533360827,-0.196443587715059
6,1,0,2,81293.98,7,1.0020906683211253,-1.020209677971708,-0.05338825148212941
2,3,0,0,63144.71,14,0.9322468848088216,-0.21770568425969006,1.520220447080096
6,1,1,1,40805.03,7,1.0719344518334284,-0.8662889068718865,1.3771651108471663
3,3,0,0,5129.96,8,0.0941214826611807,-1.363749917858804,0.804943765915448
3,0,1,0,47426.93,13,-1.2329104040725845,0.20443312233314612,-1.197830941345566
1,1,1,1,31288.4,26,0.6528717507596082,-0.8905544652426123,-0.7686649326467773
4,0,0,1,14912.93,10,0.4433404002226975,1.5797544602002422,1.3771651108471663
5,0,0,1,12140.06,17,0.8624031012965183,0.5284403271885795,0.3757777572166593
0,1,0,1,38018.04,2,-1.1630666205602809,-1.608851397041779,-1.3408862775784955
6,3,1,2,63401.95,7,-1.0233790535356742,-0.1404381397430613,0.804943765915448
6,0,0,2,84564.33,22,1.4211533693949456,1.1577521687037253,0.5188330934495888
2,0,1,0,22438.51,14,0.8624031012965183,-0.32509756003074064,-0.6256095964138477
4,1,0,0,45341.18,16,1.4211533693949456,-1.1730269520429497,0.23272242098372975
3,1,0,0,42235.83,4,0.9322468848088216,1.4068125856799552,0.804943765915448
0,1,1,2,53772.43,3,0.3734966167103943,0.5907139636261569,-1.6269969500443546
1,1,1,0,81910.79,1,0.5830279672473044,-0.4076095594976294,-0.196443587715059
3,1,0,0,57596.3,6,1.3513095858826425,0.25099614643599677,-0.9117202688797068
4,2,0,2,85432.22,10,0.30365283319809083,-1.613868326831507,1.2341097746142367
5,1,0,0,54262.42,18,0.5131841837350013,0.9013199365262622,0.9479991021483776
1,3,0,2,62365.5,1,-1.1630666205602809,-1.4201192763805788,0.3757777572166593
5,0,0,2,46551.41,19,-0.04556608436342626,1.6824479414063094,0.804943765915448
2,3,1,1,83194.08,12,0.7925593177842146,0.48157014411901083,-0.05338825148212941
2,3,1,1,92763.58,11,-0.7440039194864605,1.414332292235534,-0.196443587715059
6,2,1,2,65718.75,9,-1.0233790535356742,-0.5409279273112885,1.2341097746142367
5,1,1,2,82974.33,19,-0.6043163524618534,0.6873666518201025,0.6618884296825185
4,0,0,1,10605.32,10,-0.8836914865110671,1.603371571863452,1.0910544383813072
0,3,1,0,91080.62,24,-0.9535352700233706,0.6796876776521512,1.6632757833130254
1,1,1,0,22947.88,1,-0.2550974349003364,0.21228274037149622,1.2341097746142367
3,1,1,0,29369.44,6,1.4211533693949456,-0.7651198442413831,1.3771651108471663
4,2,0,2,10066.36,15,0.02427769914887722,0.752074807475371,0.5188330934495888
4,2,1,1,96713.01,15,-1.0932228370479775,0.9567791944059096,0.6618884296825185
2,2,0,0,85941.03,12,-1.4424417546094945,-0.24425787049376124,1.6632757833130254
5,0,1,1,91752.54,18,0.7227155342719114,-0.77084210202876,0.9479991021483776
6,3,0,1,85485.54,7,-0.39478500192494337,1.5973080263352772,0.5188330934495888
6,2,1,2,50555.4,7,1.1417782353457318,-1.1105257904448405,0.804943765915448
1,2,0,0,92787.78,0,0.5830279672473044,1.1981378846981352,1.2341097746142367
2,2,1,1,97099.92,11,1.0719344518334284,0.10700684859339218,-0.05338825148212941
4,3,0,2,52743.86,10,-0.7440039194864605,0.02804424163080087,-0.6256095964138477
0,3,0,2,21684.35,3,0.7227155342719114,-0.661220479684497,1.520220447080096
2,2,1,2,67569.14,14,-0.813847702998764,-0.3069069234462163,1.0910544383813072
1,2,0,0,97666.64,1,1.5608409364195526,0.9062913612838839,0.08966708475080017
1,1,0,0,87853.95,27,0.5131841837350013,-0.09619587227763592,-1.197830941345566
2,2,1,2,86872.44,14,-0.6043163524618534,1.243005846355023,0.6618884296825185
1,0,1,0,93712.71,1,-0.813847702998764,-1.5202530995306622,0.9479991021483776
2,0,0,0,89925.46,21,-1.0233790535356742,0.36829674294821096,0.6618884296825185
3,2,1,1,78746.76,4,0.7227155342719114,-1.1192058753191318,-0.7686649326467773
2,3,1,2,73235.92,11,-0.9535352700233706,0.34287080625877264,1.3771651108471663
5,1,1,2,30152.88,17,0.3734966167103943,0.9582467316913402,-1.3408862775784955
2,3,0,0,64027.3,11,-0.813847702998764,0.7340548147612456,0.08966708475080017
1,2,0,2,54541.42,26,0.5830279672473044,0.6328971283887688,1.3771651108471663
5,0,0,2,86884.69,20,1.1417782353457318,1.6159878420149452,-1.3408862775784955
1,1,0,2,51712.69,27,1.0020906683211253,0.44508648462772277,0.9479991021483776
6,3,0,0,17135.56,22,0.9322468848088216,-1.161718951564515,1.520220447080096
6,3,0,0,5472.39,22,-1.0932228370479775,0.7000284270037019,-1.4839416138114252
5,2,0,0,69397.95,18,-1.4424417546094945,0.13763173520098415,0.08966708475080017
3,1,1,1,57241.3,8,0.7227155342719114,0.4702052623504431,1.520220447080096
6,0,0,2,36441.48,25,-0.46462878543724684,0.7287307260047995,0.9479991021483776
2,2,0,1,21052.35,14,-0.1852536513880329,0.5321034822731429,-0.6256095964138477
1,1,1,0,49337.96,1,-1.5821293216341017,0.34281392496863966,1.3771651108471663
6,3,1,1,14527.21,9,-0.813847702998764,1.49357930564879,1.520220447080096
6,2,1,2,36930.31,9,-1.5821293216341017,0.9799753845221355,-1.4839416138114252
3,3,0,2,41025.13,13,1.3513095858826425,0.7241915990521883,-1.0547756051126365
5,3,1,0,49233.78,19,-0.8836914865110671,1.0576297218116684,0.6618884296825185
5,2,0,0,49328.97,19,0.23380904968578736,0.4906483980242331,-1.3408862775784955
4,2,0,1,29415.54,5,-1.5821293216341017,-1.4409605810852997,0.08966708475080017
3,2,0,0,85770.04,13,0.5830279672473044,-0.729364265263797,1.2341097746142367
